Metric,SPY,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,69.0%,61.0%
,,
Total Return,15%,-10%
CAGR% (Annual Return),21.6%,-13.51%
,,
Sharpe,1.24,-1.74
RoMaD,2.57,-0.92
Corr to Benchmark,1.0,-0.43
Prob. Sharpe Ratio,73.44%,3.7%
Smart Sharpe,1.17,-1.64
Sortino,1.73,-2.42
Smart Sortino,1.63,-2.28
Sortino/√2,1.23,-1.71
Smart Sortino/√2,1.15,-1.61
Omega,0.69,0.69
,,
Max Drawdown,-8.41%,-14.74%
Longest DD Days,64,152
Volatility (ann.),13.1%,10.35%
R^2,0.18,0.18
Information Ratio,-0.09,-0.09
Calmar,2.57,-0.92
Skew,-0.64,0.43
Kurtosis,4.04,21.71
,,
Expected Daily%,0.05%,-0.04%
Expected Monthly%,1.44%,-1.06%
Expected Yearly%,7.42%,-5.17%
Daily Value-at-Risk,-1.07%,-0.93%
Expected Shortfall (cVaR),-1.07%,-0.93%
,,
MTD,1.0%,0.99%
3M,4.59%,-4.0%
6M,8.03%,-7.66%
YTD,1.0%,0.99%
1Y,15.38%,-10.08%
3Y (ann.),21.6%,-13.51%
5Y (ann.),21.6%,-13.51%
10Y (ann.),21.6%,-13.51%
All-time (ann.),21.6%,-13.51%
,,
Best Day,2.49%,3.81%
Worst Day,-2.98%,-3.98%
Best Month,5.96%,0.99%
Worst Month,-3.09%,-5.82%
Best Year,14.24%,0.99%
Worst Year,1.0%,-10.96%
,,
Avg. Drawdown,-1.47%,-5.34%
Avg. Drawdown Days,11,64
Recovery Factor,1.78,0.69
Ulcer Index,0.02,0.08
Serenity Index,0.97,-0.06
,,
Avg. Up Month,1.0%,0.99%
Avg. Down Month,-,-
Win Days,161.67,116.52
Loss Days,106.33,151.48
Win Days%,60.33%,43.48%
Win Month%,70.0%,40.0%
Win Quarter%,100.0%,25.0%
Win Year%,100.0%,50.0%
,,
Beta,-,-0.34
Alpha,-,-0.07
Correlation,-,-42.68%
Treynor Ratio,-,42.3%
