time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-04-11 09:30:00-04:00,MyStrategy,3f087ab72a8249f4b8d30130199d13b7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MyStrategy,3f087ab72a8249f4b8d30130199d13b7,SPY,sell,market,fill,1,gtc,0.0,1,stock,515.6799926757812,97.0,0.0
2024-06-12 09:30:00-04:00,MyStrategy,8ad3784adcc245c5b4142c9a603b88ba,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-06-12 09:30:00-04:00,MyStrategy,2f95dd3e178b48508cf6406d8760c8d9,SPY,buy,stop,fill,1,day,0.0,1,stock,541.6300048828125,97.0,0.0
2024-06-14 09:30:00-04:00,MyStrategy,2ebd5b7d4e9348e692fd37f6f31910c4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MyStrategy,2ebd5b7d4e9348e692fd37f6f31910c4,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,90.0,0.0
2024-06-24 09:30:00-04:00,MyStrategy,6bc7ffd3f5fc4f3e89081f59c8f0415a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MyStrategy,e1f691a507fc4046ad2c5f8a3bc0cbd9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MyStrategy,973d8645f3554de0a58d241d66f2ed19,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MyStrategy,0b235a1bc1474af0ae7de91865a13e75,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MyStrategy,973d8645f3554de0a58d241d66f2ed19,SPY,sell,market,fill,1,day,0.0,1,stock,544.3300170898438,90.0,0.0
2024-06-24 09:30:00-04:00,MyStrategy,0b235a1bc1474af0ae7de91865a13e75,SPY,sell,market,fill,1,gtc,0.0,1,stock,544.3300170898438,45.0,0.0
2024-06-27 09:30:00-04:00,MyStrategy,2a47e29751ba494eb15d52d825f29c1a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MyStrategy,2a47e29751ba494eb15d52d825f29c1a,SPY,sell,market,fill,1,gtc,0.0,1,stock,545.3699951171875,112.0,0.0
2024-09-19 09:30:00-04:00,MyStrategy,2ad94d088fe4424c90b87776abb51e53,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-19 09:30:00-04:00,MyStrategy,cc2782a142ec496a84adf75e61672932,SPY,buy,stop,fill,1,day,0.0,1,stock,571.546517944336,45.0,0.0
2024-09-19 09:30:00-04:00,MyStrategy,4ebcd7f743ac474383bd33e929800e0f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-19 09:30:00-04:00,MyStrategy,8b01ad60ddde46a9a94fa217ff626ff3,SPY,buy,stop,fill,1,day,0.0,1,stock,572.6384948730469,112.0,0.0
2024-10-22 09:30:00-04:00,MyStrategy,2afeb691572c4b4dae48dd7e60ea86fa,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-22 09:30:00-04:00,MyStrategy,2afeb691572c4b4dae48dd7e60ea86fa,SPY,sell,market,fill,1,gtc,0.0,1,stock,581.0499877929688,81.0,0.0
2024-11-04 09:30:00-05:00,MyStrategy,9ca5182019ed486392fdfe1d66194105,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-11-04 09:30:00-05:00,MyStrategy,9ca5182019ed486392fdfe1d66194105,SPY,sell,market,fill,1,gtc,0.0,1,stock,571.1799926757812,123.0,0.0
2024-11-11 08:30:00-05:00,MyStrategy,511ff187c6f1442186c247c064eb3221,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-11-11 08:30:00-05:00,MyStrategy,165189b00bfa423fbc9282f977e3987b,SPY,buy,stop,fill,1,day,0.0,1,stock,599.8099975585938,123.0,0.0
2024-12-30 09:30:00-05:00,MyStrategy,b906ede6fe5b4b0f948a728edcc70931,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 09:30:00-05:00,MyStrategy,b906ede6fe5b4b0f948a728edcc70931,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,117.0,0.0
2024-12-31 09:30:00-05:00,MyStrategy,251e8b2a1bd54fcb8b4263ea3a583b57,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-31 09:30:00-05:00,MyStrategy,251e8b2a1bd54fcb8b4263ea3a583b57,SPY,sell,market,fill,1,gtc,0.0,1,stock,589.9099731445312,174.0,0.0
2025-01-03 09:30:00-05:00,MyStrategy,e052469e99ea4ad3b32a56a27e0f34d2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-03 09:30:00-05:00,MyStrategy,e052469e99ea4ad3b32a56a27e0f34d2,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.530029296875,263.0,0.0
