datetime,portfolio_value,cash,positions,return
2025-01-02 08:30:00-05:00,100000.0,100000.0,[],
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-04 09:30:00-05:00,50059.947509765625,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.49940052490234377
2025-01-05 09:30:00-05:00,50059.947509765625,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-06 09:30:00-05:00,49317.04833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.014840190748840687
2025-01-07 09:30:00-05:00,49219.30145263672,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.0019820100857103062
2025-01-08 09:30:00-05:00,49960.498962402344,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.01505908226834296
2025-01-09 09:30:00-05:00,49960.498962402344,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-10 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.004797802814959562
2025-01-11 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-12 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-13 09:30:00-05:00,51059.54833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.01711843303388494
2025-01-14 09:30:00-05:00,50329.40124511719,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.014299912914756407
2025-01-15 09:30:00-05:00,49821.94854736328,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.010082629341892635
2025-01-16 09:30:00-05:00,49495.55145263672,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.006551271161469585
2025-01-17 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-1.0179055225645273
2025-01-18 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-19 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-20 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-21 09:30:00-05:00,-1513.2271118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.7074616033630903
2025-01-22 09:30:00-05:00,-2400.4771118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.5863297009891575
2025-01-23 09:30:00-05:00,-2380.1979370117188,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-0.008447976739650143
2025-01-24 09:30:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.2847207116066366
2025-01-25 09:30:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-26 09:30:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-27 09:30:00-05:00,-522.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-0.8290031171967412
2025-01-28 09:30:00-05:00,-1504.7791748046875,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",1.877814381962089
2025-01-29 09:30:00-05:00,-52137.4326171875,100000.0,"[{'asset': SPY, 'quantity': -252.0}]",33.64789617649691
2025-01-30 09:30:00-05:00,-102326.60736083984,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.9626322629301678
2025-01-31 09:30:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.01158928913746049
2025-02-01 09:30:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-02 09:30:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-03 09:30:00-05:00,-98544.44427490234,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.047994741940322716
2025-02-04 09:30:00-05:00,-100273.05572509766,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.017541439935194303
2025-02-05 09:30:00-05:00,-101214.40490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.009387857738270666
2025-02-06 09:30:00-05:00,-103006.64672851562,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.017707378934172846
2025-02-07 09:30:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.002927074982894906
2025-02-08 09:30:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-09 09:30:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-10 09:30:00-05:00,-102350.05981445312,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.009274147753716377
2025-02-11 09:30:00-05:00,-101854.24591064453,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.004844295203221494
2025-02-12 09:30:00-05:00,-100732.00408935547,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.0110181152612292
2025-02-13 09:30:00-05:00,-50560.165710449204,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.4980724729193392
2025-02-14 09:30:00-05:00,-50106.983886718735,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.008963218718976873
2025-02-15 09:30:00-05:00,-50106.983886718735,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-16 09:30:00-05:00,-50106.983886718735,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-17 09:30:00-05:00,-50106.983886718735,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-18 09:30:00-05:00,-50028.96368408202,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.0015570724195475005
2025-02-19 09:30:00-05:00,-50095.36267089842,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.001327210917973387
2025-02-20 09:30:00-05:00,-49974.18591308592,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.0024189216596468555
2025-02-21 09:30:00-05:00,-50088.72631835936,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0022919914187826684
2025-02-22 09:30:00-05:00,-50088.72631835936,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-23 09:30:00-05:00,-50088.72631835936,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-24 09:30:00-05:00,-50764.342468261704,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.013488387498779453
2025-02-25 09:30:00-05:00,-51168.55206298827,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.007962470802793886
2025-02-26 09:30:00-05:00,-51269.81469726561,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.00197900136303808
2025-02-27 09:30:00-05:00,-51193.45611572264,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.00148934771841569
2025-02-28 09:30:00-05:00,-52130.52429199217,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.018304452314203745
2025-03-01 09:30:00-05:00,-52130.52429199217,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-03-02 09:30:00-05:00,-52130.52429199217,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-03-03 09:30:00-05:00,-51249.06469726561,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",-0.016908703810254333
2025-03-04 09:30:00-05:00,-52616.072265624985,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.026673805198874412
2025-03-05 09:30:00-05:00,-52866.733886718735,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.00476397439604237
2025-03-06 09:30:00-05:00,-52967.165710449204,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0018997168227883332
2025-03-07 09:30:00-05:00,-53347.30206298827,-100732.00408935545,"[{'asset': SPY, 'quantity': 83.0}]",0.0071768301633716725
2025-03-08 09:30:00-05:00,-100732.00408935545,-100732.00408935545,[],0.8882305232684324
2025-03-09 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-10 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-11 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-12 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-13 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-14 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-15 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-16 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
2025-03-17 10:30:00-04:00,-100732.00408935545,-100732.00408935545,[],0.0
